order_id,customer_id,segment,amount,status,order_date,discount
KR4200,C1645,Retail-Core,4500,returned,2026-08-03,
KR4201,C1178,Retail-Plus,2395,delivered,2026-08-03,
KR4202,C1184,Retail-Plus,1360,delivered,2026-08-04,
KR4203,C1365,Student,1440,returned,2026-08-04,
KR4204,C1805,Business,2905,cancelled,2026-08-05,
KR4205,C1357,Retail-Core,2095,cancelled,2026-08-05,
KR4206,C1800,Retail-Plus,920,delivered,2026-08-06,
KR4207,C1777,Student,1420,delivered,2026-08-06,
KR4208,C1745,Student,2605,cancelled,2026-08-07,
KR4209,C1440,Retail-Plus,840,cancelled,2026-08-07,
KR4210,C1371,Business,twelve,delivered,2026-08-10,
KR4211,C1093,Retail-Core,2880,delivered,2026-08-10,
KR4212,C1527,Retail-Core,2900,cancelled,2026-08-10,
KR4213,C1694,Retail-Core,2515,delivered,2026-08-10,
KR4214,C1517,Student,,delivered,2026-08-10,
KR4215,C1769,Student,2170,delivered,2026-08-10,75
KR4216,C1670,Retail-Core,1050,cancelled,2026-08-11,
KR4217,C1545,Business,1965,delivered,2026-08-11,
KR4218,C1777,Business,1205,returned,2026-08-12,
KR4219,C1103,Student,1200,cancelled,2026-08-12,
KR4220,C1100,Business,1205,cancelled,2026-08-13,
KR4221,C1705,Student,1270,returned,2026-08-13,
KR4222,C1271,Business,1450,delivered,2026-08-14,
KR4223,C1232,Retail-Plus,2720,delivered,2026-08-14,175
KR4224,C1858,Retail-Core,1460,delivered,2026-08-17,
KR4225,C1229,Retail-Plus,1320,returned,2026-08-17,
KR4226,C1507,Business,1905,returned,2026-08-17,
KR4227,C1317,Retail-Core,1555,cancelled,2026-08-17,
KR4228,C1146,Retail-Plus,2030,returned,2026-08-17,
KR4229,C1643,Retail-Plus,2465,cancelled,2026-08-17,
