order_id,customer_id,segment,amount,status,order_date,discount
order_id,customer_id,segment,amount,status,order_date,discount
KR4200,C1451,Student,1280,cancelled,2026-08-03,150
KR4201,C1022,Retail-Core,1865,returned,2026-08-03,
KR4202,C1813,Retail-Core,2270,delivered,2026-08-04,
KR4203,C1758,Retail-Plus,2835,cancelled,2026-08-04,
KR4204,C1498,Student,1310,delivered,2026-08-05,
KR4205,C1167,Student,1145,cancelled,2026-08-05,
KR4206,C1186,Retail-Plus,1030,delivered,2026-08-06,
KR4207,C1453,Retail-Plus,985,delivered,2026-08-06,150
KR4208,C1234,Student,2430,delivered,2026-08-07,125
KR4209,C1648,Retail-Plus,2895,returned,2026-08-07,
KR4210,C1312,Business,twelve,cancelled,2026-08-10,
KR4211,C1155,Business,2360,delivered,2026-08-10,300
KR4212,C1577,Business,2855,returned,2026-08-10,
KR4213,C1649,Student,2745,returned,2026-08-10,
KR4214,C1500,Retail-Plus,,cancelled,2026-08-10,
KR4215,C1606,Business,950,delivered,2026-08-10,
KR4216,C1273,Student,2140,delivered,2026-08-11,300
KR4217,C1492,Student,1475,returned,2026-08-11,
KR4218,C1893,Retail-Core,1445,delivered,2026-08-12,
KR4219,C1137,Business,2050,delivered,2026-08-12,
