order_id,customer_id,segment,amount,status,order_date,discount
KR7500,C1816,Student,2250,cancelled,2026-08-03,
KR7501,C1174,Retail-Core,1410,delivered,2026-08-03,
KR7502,C1150,Retail-Core,2040,cancelled,2026-08-04,
KR7503,C1101,Business,1010,returned,2026-08-04,
KR7504,C1307,Student,2225,returned,2026-08-05,
KR7505,C1500,Business,1780,returned,2026-08-05,
KR7506,C1720,Business,eleven hundred,delivered,2026-08-06,
KR7507,C1273,Retail-Plus,2390,cancelled,2026-08-06,
KR7508,C1351,Retail-Core,2625,delivered,2026-08-07,
KR7509,C1452,Retail-Plus,2055,cancelled,2026-08-07,
KR7510,C1613,Business,2065,cancelled,2026-08-10,
KR7511,C1440,Retail-Core,1280,returned,2026-08-10,
KR7512,C1652,Retail-Core,1070,cancelled,2026-08-10,
KR7513,C1392,Business,1120,delivered,2026-08-10,
KR7514,C1005,Retail-Plus,3000,returned,2026-08-10,
KR7515,C1691,Retail-Plus,1965,cancelled,2026-08-10,
KR7516,C1574,Retail-Plus,2825,returned,2026-08-11,
KR7517,C1874,Retail-Core,1290,delivered,2026-08-11,
KR7518,C1043,Student,1325,cancelled,2026-08-12,
KR7519,C1328,Retail-Core,,returned,2026-08-12,
KR7520,C1776,Retail-Plus,1955,cancelled,2026-08-13,
KR7521,C1230,Student,2275,cancelled,2026-08-13,
KR7522,C1005,Business,1490,delivered,2026-08-14,
KR7523,C1330,Retail-Plus,2260,returned,2026-08-14,
KR7524,C1190,Business,1210,returned,2026-08-17,
KR7525,C1109,Retail-Plus,2990,delivered,2026-08-17,300
KR7526,C1373,Retail-Core,2170,cancelled,2026-08-17,
KR7527,C1804,Student,"3,150",delivered,2026-08-17,
KR7528,C1456,Business,2080,delivered,2026-08-17,
KR7529,C1391,Business,1015,returned,2026-08-17,
KR7530,C1259,Student,910,delivered,2026-08-18,275
KR7531,C1632,Business,1960,cancelled,2026-08-18,25
KR7532,C1268,Retail-Plus,1315,returned,2026-08-19,
KR7533,C1383,Retail-Plus,96000,delivered,2026-08-19,
KR7534,C1741,Retail-Core,2260,delivered,2026-08-20,
KR7535,C1359,Business,1055,returned,2026-08-20,125
KR7536,C1105,Retail-Core,2570,delivered,2026-08-21,25
KR7537,C1319,Student,1300,cancelled,2026-08-21,
KR7538,C1238,Retail-Plus,2755,returned,2026-08-24,
KR7539,C1670,Retail-Core,1535,returned,2026-08-24,
KR7511,C1440,Retail-Core,1280,delivered,2026-08-10,
