order_id,customer_id,segment,amount,status,order_date,discount
KR5300,C1079,Business,1760,cancelled,2026-08-03,
KR5301,C1863,Student,965,returned,2026-08-03,
KR5302,C1249,Retail-Plus,815,cancelled,2026-08-04,225
KR5303,C1815,Retail-Plus,nine hundred,delivered,2026-08-04,250
KR5304,C1545,Student,2705,delivered,2026-08-05,
KR5305,C1770,Business,1690,cancelled,2026-08-05,
KR5306,C1284,Retail-Core,1170,cancelled,2026-08-06,25
KR5307,C1881,Business,,delivered,2026-08-06,
KR5308,C1661,Business,2265,cancelled,2026-08-07,300
KR5309,C1013,Student,2155,returned,2026-08-07,
KR5310,C1196,Retail-Plus,1675,cancelled,2026-08-10,75
KR5311,C1069,Retail-Core,1145,returned,2026-08-10,
KR5312,C1259,Business,"1,240",returned,2026-08-10,
KR5313,C1328,Student,2020,cancelled,2026-08-10,225
KR5314,C1862,Student,1560,returned,2026-08-10,
KR5315,C1799,Retail-Plus,1030,delivered,2026-08-10,125
KR5316,C1783,Retail-Core,1800,returned,2026-08-11,
KR5317,C1036,Retail-Plus,910,returned,2026-08-11,150
KR5318,C1373,Retail-Core,830,delivered,2026-08-12,
KR5319,C1526,Retail-Plus,900,cancelled,2026-08-12,175
KR5320,C1387,Student,2275,returned,2026-08-13,125
KR5321,C1343,Retail-Core,2505,cancelled,2026-08-13,
KR5322,C1595,Retail-Core,2600,delivered,2026-08-14,
KR5323,C1641,Business,1740,cancelled,2026-08-14,
