customer_id,segment,exposed,august_revenue,campaign_id
C-6000,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6001,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6002,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6003,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6004,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6005,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6006,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6007,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6008,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6009,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6010,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6011,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6012,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6013,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6014,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6015,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6016,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6017,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6018,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6019,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6020,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6021,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6022,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6023,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6024,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6025,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6026,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6027,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6028,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6029,Retail-Plus,yes,4850,CMP-MONSOON-26
C-6030,Retail-Core,yes,1940,CMP-MONSOON-26
C-6031,Retail-Core,yes,1940,CMP-MONSOON-26
C-6032,Retail-Core,yes,1940,CMP-MONSOON-26
C-6033,Retail-Core,yes,1940,CMP-MONSOON-26
C-6034,Retail-Core,yes,1940,CMP-MONSOON-26
C-6035,Retail-Core,yes,1940,CMP-MONSOON-26
C-6036,Retail-Core,yes,1940,CMP-MONSOON-26
C-6037,Retail-Core,yes,1940,CMP-MONSOON-26
C-6038,Retail-Core,yes,1940,CMP-MONSOON-26
C-6039,Retail-Core,yes,1940,CMP-MONSOON-26
C-6040,Retail-Core,yes,1940,CMP-MONSOON-26
C-6041,Retail-Core,yes,1940,CMP-MONSOON-26
C-6042,Retail-Core,yes,1940,CMP-MONSOON-26
C-6043,Retail-Core,yes,1940,CMP-MONSOON-26
C-6044,Retail-Core,yes,1940,CMP-MONSOON-26
C-6045,Retail-Core,yes,1940,CMP-MONSOON-26
C-6046,Retail-Core,yes,1940,CMP-MONSOON-26
C-6047,Retail-Core,yes,1940,CMP-MONSOON-26
C-6048,Retail-Core,yes,1940,CMP-MONSOON-26
C-6049,Retail-Core,yes,1940,CMP-MONSOON-26
C-6050,Retail-Core,yes,1940,CMP-MONSOON-26
C-6051,Retail-Core,yes,1940,CMP-MONSOON-26
C-6052,Retail-Core,yes,1940,CMP-MONSOON-26
C-6053,Retail-Core,yes,1940,CMP-MONSOON-26
C-6054,Retail-Core,yes,1940,CMP-MONSOON-26
C-6055,Retail-Core,yes,1940,CMP-MONSOON-26
C-6056,Retail-Core,yes,1940,CMP-MONSOON-26
C-6057,Retail-Core,yes,1940,CMP-MONSOON-26
C-6058,Retail-Core,yes,1940,CMP-MONSOON-26
C-6059,Retail-Core,yes,1940,CMP-MONSOON-26
C-6060,Retail-Plus,no,5000,
C-6061,Retail-Plus,no,5000,
C-6062,Retail-Plus,no,5000,
C-6063,Retail-Plus,no,5000,
C-6064,Retail-Plus,no,5000,
C-6065,Retail-Plus,no,5000,
C-6066,Retail-Plus,no,5000,
C-6067,Retail-Plus,no,5000,
C-6068,Retail-Plus,no,5000,
C-6069,Retail-Plus,no,5000,
C-6070,Retail-Plus,no,5000,
C-6071,Retail-Plus,no,5000,
C-6072,Retail-Plus,no,5000,
C-6073,Retail-Plus,no,5000,
C-6074,Retail-Plus,no,5000,
C-6075,Retail-Plus,no,5000,
C-6076,Retail-Plus,no,5000,
C-6077,Retail-Plus,no,5000,
C-6078,Retail-Plus,no,5000,
C-6079,Retail-Plus,no,5000,
C-6080,Retail-Plus,no,5000,
C-6081,Retail-Plus,no,5000,
C-6082,Retail-Plus,no,5000,
C-6083,Retail-Plus,no,5000,
C-6084,Retail-Plus,no,5000,
C-6085,Retail-Plus,no,5000,
C-6086,Retail-Plus,no,5000,
C-6087,Retail-Plus,no,5000,
C-6088,Retail-Plus,no,5000,
C-6089,Retail-Plus,no,5000,
C-6090,Retail-Plus,no,5000,
C-6091,Retail-Plus,no,5000,
C-6092,Retail-Plus,no,5000,
C-6093,Retail-Plus,no,5000,
C-6094,Retail-Plus,no,5000,
C-6095,Retail-Plus,no,5000,
C-6096,Retail-Plus,no,5000,
C-6097,Retail-Plus,no,5000,
C-6098,Retail-Plus,no,5000,
C-6099,Retail-Plus,no,5000,
C-6100,Retail-Core,no,2000,
C-6101,Retail-Core,no,2000,
C-6102,Retail-Core,no,2000,
C-6103,Retail-Core,no,2000,
C-6104,Retail-Core,no,2000,
C-6105,Retail-Core,no,2000,
C-6106,Retail-Core,no,2000,
C-6107,Retail-Core,no,2000,
C-6108,Retail-Core,no,2000,
C-6109,Retail-Core,no,2000,
C-6110,Retail-Core,no,2000,
C-6111,Retail-Core,no,2000,
C-6112,Retail-Core,no,2000,
C-6113,Retail-Core,no,2000,
C-6114,Retail-Core,no,2000,
C-6115,Retail-Core,no,2000,
C-6116,Retail-Core,no,2000,
C-6117,Retail-Core,no,2000,
C-6118,Retail-Core,no,2000,
C-6119,Retail-Core,no,2000,
