order_id,customer_id,segment,channel,order_date,order_amount,paid_amount,paid_date
KR-00001,C-0316,Student,web,2026-04-20,520,520,2026-04-22
KR-00001,C-0316,Student,web,2026-04-20,520,520,2026-04-22
KR-00002,C-0323,Student,app,2026-05-19,800,800,2026-05-21
KR-00002,C-0323,Student,app,2026-05-19,800,800,2026-05-21
KR-00003,C-0322,Student,store,2026-06-08,800,800,2026-06-10
KR-00003,C-0322,Student,store,2026-06-08,800,800,2026-06-10
KR-00004,C-0325,Student,app,2026-04-24,1310,1310,2026-04-26
KR-00005,C-0333,Student,app,2026-05-27,1380,1380,2026-05-28
KR-00006,C-0323,Student,app,2026-06-25,970,970,2026-06-27
KR-00007,C-0315,Student,store,2026-04-03,1310,1310,2026-04-05
KR-00008,C-0331,Student,app,2026-05-18,1070,1070,2026-05-20
KR-00009,C-0335,Student,app,2026-06-20,900,900,2026-06-22
KR-00009,C-0335,Student,app,2026-06-20,900,900,2026-06-22
KR-00010,C-0333,Student,web,2026-04-27,1450,1450,2026-04-28
KR-00011,C-0315,Student,app,2026-05-20,1050,1050,2026-05-22
KR-00012,C-0323,Student,web,2026-06-12,1480,1480,2026-06-14
KR-00013,C-0337,Student,app,2026-04-09,710,710,2026-04-11
KR-00013,C-0337,Student,app,2026-04-09,710,710,2026-04-11
KR-00014,C-0315,Student,web,2026-05-11,1080,1080,2026-05-13
KR-00015,C-0338,Student,web,2026-06-06,660,660,2026-06-08
KR-00015,C-0338,Student,web,2026-06-06,660,660,2026-06-08
KR-00016,C-0338,Student,store,2026-04-26,610,610,2026-04-28
KR-00016,C-0338,Student,store,2026-04-26,610,610,2026-04-28
KR-00017,C-0329,Student,store,2026-05-28,860,860,2026-05-28
KR-00017,C-0329,Student,store,2026-05-28,860,860,2026-05-28
KR-00018,C-0313,Student,app,2026-06-05,940,940,2026-06-07
KR-00019,C-0312,Student,store,2026-04-25,530,530,2026-04-27
KR-00019,C-0312,Student,store,2026-04-25,530,530,2026-04-27
KR-00020,C-0316,Student,store,2026-05-15,470,470,2026-05-17
KR-00020,C-0316,Student,store,2026-05-15,470,470,2026-05-17
KR-00021,C-0328,Student,app,2026-06-03,1050,1050,2026-06-05
KR-00022,C-0333,Student,app,2026-04-16,900,900,2026-04-18
KR-00022,C-0333,Student,app,2026-04-16,900,900,2026-04-18
KR-00023,C-0338,Student,app,2026-05-17,1470,1470,2026-05-19
KR-00024,C-0325,Student,store,2026-06-01,1070,1070,2026-06-03
KR-00025,C-0326,Student,store,2026-04-01,1420,1420,2026-04-03
KR-00026,C-0328,Student,web,2026-05-26,1040,1040,2026-05-28
KR-00027,C-0316,Student,store,2026-06-20,870,870,2026-06-22
KR-00027,C-0316,Student,store,2026-06-20,870,870,2026-06-22
KR-00028,C-0283,Business,web,2026-04-02,635000,381000,2026-04-04
KR-00028,C-0283,Business,web,2026-04-02,635000,254000,2026-04-04
KR-00029,C-0277,Business,store,2026-05-22,1140000,684000,2026-05-24
KR-00029,C-0277,Business,store,2026-05-22,1140000,456000,2026-05-24
KR-00030,C-0287,Business,store,2026-06-08,212000,127200,2026-06-10
KR-00030,C-0287,Business,store,2026-06-08,212000,84800,2026-06-10
KR-00031,C-0283,Business,web,2026-04-13,1647000,988200,2026-04-15
KR-00031,C-0283,Business,web,2026-04-13,1647000,658800,2026-04-15
