customer_id,campaign_id,exposed_date
C-0001,CMP-MONSOON-26,2026-08-03
C-0002,CMP-MONSOON-26,2026-08-03
C-0003,CMP-MONSOON-26,2026-08-03
C-0006,CMP-MONSOON-26,2026-08-03
C-0007,CMP-MONSOON-26,2026-08-03
C-0009,CMP-MONSOON-26,2026-08-03
C-0012,CMP-MONSOON-26,2026-08-03
C-0017,CMP-MONSOON-26,2026-08-03
C-0019,CMP-MONSOON-26,2026-08-03
C-0021,CMP-MONSOON-26,2026-08-03
C-0023,CMP-MONSOON-26,2026-08-03
C-0025,CMP-MONSOON-26,2026-08-03
C-0028,CMP-MONSOON-26,2026-08-03
C-0030,CMP-MONSOON-26,2026-08-03
C-0031,CMP-MONSOON-26,2026-08-03
C-0033,CMP-MONSOON-26,2026-08-03
C-0036,CMP-MONSOON-26,2026-08-03
C-0037,CMP-MONSOON-26,2026-08-03
C-0040,CMP-MONSOON-26,2026-08-03
C-0041,CMP-MONSOON-26,2026-08-03
C-0044,CMP-MONSOON-26,2026-08-03
C-0047,CMP-MONSOON-26,2026-08-03
C-0048,CMP-MONSOON-26,2026-08-03
C-0049,CMP-MONSOON-26,2026-08-03
C-0052,CMP-MONSOON-26,2026-08-03
C-0054,CMP-MONSOON-26,2026-08-03
C-0055,CMP-MONSOON-26,2026-08-03
C-0057,CMP-MONSOON-26,2026-08-03
C-0058,CMP-MONSOON-26,2026-08-03
C-0059,CMP-MONSOON-26,2026-08-03
C-0061,CMP-MONSOON-26,2026-08-03
C-0062,CMP-MONSOON-26,2026-08-03
C-0064,CMP-MONSOON-26,2026-08-03
C-0066,CMP-MONSOON-26,2026-08-03
C-0068,CMP-MONSOON-26,2026-08-03
C-0069,CMP-MONSOON-26,2026-08-03
C-0070,CMP-MONSOON-26,2026-08-03
C-0076,CMP-MONSOON-26,2026-08-03
C-0078,CMP-MONSOON-26,2026-08-03
C-0079,CMP-MONSOON-26,2026-08-03
C-0080,CMP-MONSOON-26,2026-08-03
C-0082,CMP-MONSOON-26,2026-08-03
C-0083,CMP-MONSOON-26,2026-08-03
C-0084,CMP-MONSOON-26,2026-08-03
C-0092,CMP-MONSOON-26,2026-08-03
C-0095,CMP-MONSOON-26,2026-08-03
C-0098,CMP-MONSOON-26,2026-08-03
C-0101,CMP-MONSOON-26,2026-08-03
C-0105,CMP-MONSOON-26,2026-08-03
C-0106,CMP-MONSOON-26,2026-08-03
C-0107,CMP-MONSOON-26,2026-08-03
C-0110,CMP-MONSOON-26,2026-08-03
C-0114,CMP-MONSOON-26,2026-08-03
C-0115,CMP-MONSOON-26,2026-08-03
C-0116,CMP-MONSOON-26,2026-08-03
C-0117,CMP-MONSOON-26,2026-08-03
C-0120,CMP-MONSOON-26,2026-08-03
C-0121,CMP-MONSOON-26,2026-08-03
C-0122,CMP-MONSOON-26,2026-08-03
C-0123,CMP-MONSOON-26,2026-08-03
C-0125,CMP-MONSOON-26,2026-08-03
C-0127,CMP-MONSOON-26,2026-08-03
C-0128,CMP-MONSOON-26,2026-08-03
C-0130,CMP-MONSOON-26,2026-08-03
C-0132,CMP-MONSOON-26,2026-08-03
C-0140,CMP-MONSOON-26,2026-08-03
C-0141,CMP-MONSOON-26,2026-08-03
C-0142,CMP-MONSOON-26,2026-08-03
C-0145,CMP-MONSOON-26,2026-08-03
C-0148,CMP-MONSOON-26,2026-08-03
C-0152,CMP-MONSOON-26,2026-08-03
C-0156,CMP-MONSOON-26,2026-08-03
C-0157,CMP-MONSOON-26,2026-08-03
C-0158,CMP-MONSOON-26,2026-08-03
C-0160,CMP-MONSOON-26,2026-08-03
C-0161,CMP-MONSOON-26,2026-08-03
C-0162,CMP-MONSOON-26,2026-08-03
C-0166,CMP-MONSOON-26,2026-08-03
C-0167,CMP-MONSOON-26,2026-08-03
C-0169,CMP-MONSOON-26,2026-08-03
C-0171,CMP-MONSOON-26,2026-08-03
C-0172,CMP-MONSOON-26,2026-08-03
C-0174,CMP-MONSOON-26,2026-08-03
C-0177,CMP-MONSOON-26,2026-08-03
C-0178,CMP-MONSOON-26,2026-08-03
C-0179,CMP-MONSOON-26,2026-08-03
C-0180,CMP-MONSOON-26,2026-08-03
C-0181,CMP-MONSOON-26,2026-08-03
C-0183,CMP-MONSOON-26,2026-08-03
C-0184,CMP-MONSOON-26,2026-08-03
C-0185,CMP-MONSOON-26,2026-08-03
C-0187,CMP-MONSOON-26,2026-08-03
C-0188,CMP-MONSOON-26,2026-08-03
C-0189,CMP-MONSOON-26,2026-08-03
