id,segment,amount,outcome,date
1001,segment_a,4500,accepted,2026-08-03
1002,segment_b,12800,declined,2026-08-03
1003,segment_a,7350,accepted,2026-08-04
1004,segment_c,2100,pending,2026-08-04
1005,segment_b,19400,accepted,2026-08-05
1006,segment_a,5600,declined,2026-08-05
1007,segment_d,880,accepted,2026-08-06
1008,segment_b,15250,accepted,2026-08-06
1009,segment_a,3300,pending,2026-08-07
1010,segment_c,9750,accepted,2026-08-07
1011,segment_b,twelve,accepted,2026-08-10
1012,segment_a,6400,declined,2026-08-10
1013,segment_d,1450,accepted,2026-08-11
1014,segment_c,8900,accepted,2026-08-11
1015,segment_b,,pending,2026-08-12
1016,segment_a,11200,accepted,2026-08-12
1017,segment_c,4050,declined,2026-08-13
1018,segment_b,23600,accepted,2026-08-13
1019,segment_a,2750,pending,2026-08-14
1020,segment_d,1900,declined,2026-08-14
1021,segment_b,14300,accepted,2026-08-17
1022,segment_a,5150,accepted,2026-08-17
1023,segment_c,7800,pending,2026-08-18
1024,segment_b,10600,accepted,2026-08-18
1025,segment_a,3950,declined,2026-08-19
1026,segment_d,2400,accepted,2026-08-19
1027,segment_c,16750,accepted,2026-08-20
1028,segment_b,6900,pending,2026-08-20
1029,segment_a,8250,declined,2026-08-21
1030,segment_c,13100,accepted,2026-08-21
