id,segment,amount,outcome,date
4001,segment_a,2000,accepted,2026-08-03
4002,segment_d,3000,declined,2026-08-03
4003,segment_a,4000,accepted,2026-08-04
4004,segment_b,4500,pending,2026-08-04
4005,segment_c,5000,accepted,2026-08-05
4006,segment_a,6500,declined,2026-08-05
4007,segment_d,10000,accepted,2026-08-06
4008,segment_a,3600,accepted,2026-08-07
4009,segment_a,4500,declined,2026-08-07
4010,segment_a,5200,accepted,2026-08-10
4011,segment_a,5900,pending,2026-08-10
4012,segment_a,6500,accepted,2026-08-11
4013,segment_a,7100,declined,2026-08-11
4014,segment_a,7500,accepted,2026-08-12
4015,segment_a,8400,pending,2026-08-12
4016,segment_a,9000,accepted,2026-08-13
4017,segment_a,9700,declined,2026-08-14
4018,segment_a,10400,accepted,2026-08-17
4019,segment_a,11200,declined,2026-08-18
4020,segment_a,12100,accepted,2026-08-19
4021,segment_a,13000,pending,2026-08-20
4022,segment_a,14200,declined,2026-08-21
4023,segment_a,15600,declined,2026-08-24
4024,segment_a,17400,declined,2026-08-25
4025,segment_b,4800,accepted,2026-08-26
4026,segment_b,5000,declined,2026-08-27
4027,segment_b,6300,accepted,2026-08-28
4028,segment_b,8000,pending,2026-08-31
4029,segment_b,9200,declined,2026-09-01
4030,segment_b,10900,accepted,2026-09-02
4031,segment_b,13600,declined,2026-09-03
4032,segment_b,480000,accepted,2026-09-04
4033,segment_c,4000,accepted,2026-09-07
4034,segment_c,4500,declined,2026-09-08
4035,segment_c,8600,accepted,2026-09-09
4036,segment_c,10700,declined,2026-09-10
4037,segment_c,14800,pending,2026-09-11
4038,segment_d,1800,accepted,2026-09-14
4039,segment_d,2700,accepted,2026-09-15
4040,segment_d,3500,declined,2026-09-16
4041,segment_d,5200,accepted,2026-09-17
4042,segment_d,6400,pending,2026-09-18
4043,segment_d,7100,accepted,2026-09-21
4044,segment_d,8300,declined,2026-09-22
4045,segment_d,9900,accepted,2026-09-23
4046,segment_d,11500,pending,2026-09-24
4047,segment_d,12900,accepted,2026-09-25
