order_id,customer_id,segment,channel,city,order_date,amount,status,quarter,discount
KR-02001,C-2000,Retail-Core,web,Mumbai,2026-04-22,2200,delivered,Q1,50
KR-02002,C-2003,Retail-Core,app,Chennai,2026-05-23,2810,delivered,Q1,0
KR-02003,C-2006,Retail-Core,store,Pune,2026-06-07,1040,delivered,Q1,100
KR-02004,C-2009,Retail-Core,web,Mumbai,2026-04-12,2390,returned,Q1,
KR-02005,C-2012,Retail-Core,app,Chennai,2026-05-07,2610,cancelled,Q1,50
KR-02006,C-2015,Retail-Core,store,Pune,2026-06-17,2890,delivered,Q1,0
KR-02007,C-2018,Retail-Core,web,Mumbai,2026-04-15,870,delivered,Q1,50
KR-02008,C-2021,Retail-Core,app,Chennai,2026-05-22,2560,delivered,Q1,
KR-02009,C-2024,Retail-Core,store,Pune,2026-06-13,2460,delivered,Q1,150
KR-02010,C-2027,Retail-Core,web,Mumbai,2026-04-22,2850,returned,Q1,150
KR-02011,C-2030,Retail-Core,app,Chennai,2026-05-27,1050,cancelled,Q1,0
KR-02012,C-2033,Retail-Core,store,Pune,2026-06-07,1490,delivered,Q1,
KR-02013,C-2002,Retail-Core,web,Mumbai,2026-04-18,860,delivered,Q1,0
KR-02014,C-2005,Retail-Core,app,Chennai,2026-05-16,2410,delivered,Q1,150
KR-02015,C-2008,Retail-Core,store,Pune,2026-06-10,1650,delivered,Q1,0
KR-02016,C-2011,Retail-Core,web,Mumbai,2026-04-20,1330,returned,Q1,
KR-02017,C-2014,Retail-Core,app,Chennai,2026-05-28,1250,cancelled,Q1,0
KR-02018,C-2017,Retail-Core,store,Pune,2026-06-27,-2400,delivered,Q1,0
KR-02019,C-2020,Retail-Core,web,Mumbai,2026-04-06,2800,delivered,Q1,50
KR-02020,C-2023,Retail-Core,app,Chennai,2026-05-09,1880,delivered,Q1,
KR-02021,C-2026,Retail-Core,store,Pune,2026-06-01,2780,delivered,Q1,0
KR-02022,C-2029,Retail-Core,web,Mumbai,2026-04-26,2900,returned,Q1,50
KR-02023,C-2032,Retail-Core,app,Chennai,2026-05-17,2310,cancelled,Q1,0
KR-02024,C-2001,Retail-Core,store,Pune,2026-06-08,2240,delivered,Q1,
KR-02025,C-2004,Retail-Core,web,Mumbai,2026-04-26,2740,delivered,Q1,0
KR-02026,C-2007,Retail-Core,app,Chennai,2026-05-01,2340,delivered,Q1,100
KR-02027,C-2010,Retail-Core,store,Pune,2026-06-24,2600,delivered,Q1,150
KR-02028,C-2013,Retail-Core,web,Mumbai,2026-04-14,1890,returned,Q1,
KR-02029,C-2016,Retail-Core,app,Chennai,2026-05-01,2930,cancelled,Q1,0
KR-02030,C-2019,Retail-Core,store,Pune,12/05/2026,1620,delivered,Q1,0
KR-02031,C-2022,Retail-Core,web,Mumbai,2026-04-20,1120,delivered,Q1,0
KR-02032,C-2025,Retail-Core,app,Chennai,2026-05-27,3000,delivered,Q1,
KR-02033,C-2028,Retail-Core,store,Pune,2026-06-03,2470,delivered,Q1,150
KR-02034,C-2031,Retail-Core,web,Mumbai,2026-04-27,2230,returned,Q1,50
KR-02035,C-2000,Retail-Core,app,Chennai,2026-05-12,2530,cancelled,Q1,0
KR-02036,C-2003,Retail-Core,store,Pune,2026-06-03,2090,delivered,Q1,
KR-02037,C-2006,Retail-Core,web,Mumbai,2026-04-18,1330,delivered,Q1,150
KR-02038,C-3000,Retail-Plus,store,Delhi,2026-04-01,2620,delivered,Q1,0
KR-02039,C-3001,Retail-Plus,web,Hyderabad,2026-05-21,1700,delivered,Q1,150
KR-02040,C-3002,Retail-Plus,app,Bengaluru,2026-06-26,3920,returned,Q1,
KR-02041,C-3003,Retail-Plus,store,Delhi,2026-04-15,1430,cancelled,Q1,150
KR-02042,C-3004,Retail-Plus,web,Hyderabad,2026-05-25,2010,delivered,Q1,50
KR-02043,C-3005,Retail-Plus,app,Bengaluru,2026-06-19,1710,delivered,Q1,0
KR-02044,C-3006,Retail-Plus,store,Delhi,2026-04-18,4090,delivered,Q1,
order_id,customer_id,segment,channel,city,order_date,amount,status,quarter,discount
KR-02045,C-3007,Retail-Plus,web,Hyderabad,2026-05-28,1690,delivered,Q1,0
KR-02046,C-3008,Retail-Plus,app,Bengaluru,2026-06-19,2910,returned,Q1,0
KR-02047,C-3009,Retail-Plus,store,Delhi,2026-04-23,2140,cancelled,Q1,50
KR-02048,C-3010,Retail-Plus,web,Hyderabad,2026-05-12,4460,delivered,Q1,
KR-02049,C-3011,Retail-Plus,app,Bengaluru,2026-06-09,2500,delivered,Q1,0
KR-02050,C-3012,Retail-Plus,store,Delhi,2026-04-27,2350,delivered,Q1,0
KR-02051,C-3013,Retail-Plus,web,Hyderabad,2026-05-07,4060,delivered,Q1,100
KR-02052,C-3014,Retail-Plus,app,Bengaluru,2026-06-27,2520,,Q1,
KR-02053,C-3015,Retail-Plus,store,Delhi,2026-04-01,3230,cancelled,Q1,0
KR-02054,C-3016,Retail-Plus,web,Hyderabad,2026-05-08,2240,delivered,Q1,100
