order_id,customer_id,segment,amount,status,order_date,discount
KR6400,C1517,Retail-Plus,1510,cancelled,2026-08-03,225
KR6401,C1390,Business,1475,delivered,2026-08-03,
KR6402,C1171,Retail-Core,1650,cancelled,2026-08-04,
KR6403,C1880,Retail-Plus,-1850,delivered,2026-08-04,125
KR6404,C1271,Retail-Core,2915,cancelled,2026-08-05,
KR6405,C1327,Retail-Core,2495,cancelled,2026-08-05,
KR6406,C1448,Retail-Core,2775,returned,2026-08-06,
KR6407,C1236,Student,forty two,cancelled,2026-08-06,100
KR6408,C1865,Business,950,cancelled,2026-08-07,
KR6409,C1640,Business,1560,delivered,2026-08-07,
KR6410,C1100,Retail-Plus,,cancelled,2026-08-10,150
KR6411,C1069,Student,1495,cancelled,2026-08-10,
KR6412,C1080,Retail-Core,2685,returned,2026-08-10,
KR6413,C1457,Retail-Plus,1135,cancelled,2026-08-10,
KR6414,C1092,Business,2045,cancelled,2026-08-10,
KR6415,C1704,Student,1800,returned,2026-08-10,
KR6416,C1237,Student,2085,delivered,2026-08-11,
KR6417,C1476,Student,1860,cancelled,2026-08-11,
KR6418,C1065,Retail-Core,2 450,returned,2026-08-12,200
KR6419,C1878,Retail-Plus,1135,returned,2026-08-12,
KR6420,C1254,Retail-Core,2790,returned,2026-08-13,300
KR6421,C1699,Student,955,cancelled,2026-08-13,
KR6422,C1733,Retail-Plus,1490,cancelled,2026-08-14,
KR6423,C1134,Business,2730,cancelled,2026-08-14,25
KR6424,C1352,Student,1710,cancelled,2026-08-17,25
KR6425,C1229,Business,2900,delivered,2026-08-17,
KR6426,C1554,Retail-Plus,1345,cancelled,2026-08-17,
KR6427,C1034,Business,2410,delivered,2026-08-17,25
KR6428,C1568,Retail-Plus,2430,returned,2026-08-17,125
KR6429,C1641,Retail-Core,1165,delivered,2026-08-17,175
