customer_id,segment,city,orders,revenue,last_order_date
C-0001,Retail-Core,Delhi,2,2840,2026-08-06
C-0002,Retail-Core,Chennai,4,6700,2026-07-05
C-0003,Retail-Core,Delhi,6,9710,2026-08-15
C-0004,Retail-Core,Bengaluru,2,3120,2026-08-11
C-0005,Retail-Core,Bengaluru,3,4970,2026-09-19
C-0006,Retail-Core,Hyderabad,4,9630,2026-09-11
C-0007,Retail-Core,Bengaluru,5,8250,2026-09-02
C-0008,Retail-Core,Chennai,3,6550,2026-05-17
C-0009,Retail-Core,Pune,3,8670,2026-06-01
C-0010,Retail-Core,Hyderabad,10,19680,2026-09-24
C-0011,Retail-Core,Bengaluru,7,13970,2026-09-27
C-0012,Retail-Core,Delhi,3,5180,2026-06-04
C-0013,Retail-Core,Hyderabad,3,7190,2026-08-22
C-0014,Retail-Core,Mumbai,3,4870,2026-07-02
C-0015,Retail-Core,Pune,2,2880,2026-09-10
C-0016,Retail-Core,Delhi,3,6780,2026-09-10
C-0017,Retail-Core,Bengaluru,6,11700,2026-09-20
C-0018,Retail-Core,Delhi,4,7430,2026-09-09
C-0019,Retail-Core,Delhi,4,6500,2026-09-04
C-0020,Retail-Core,Pune,7,15260,2026-06-28
C-0021,Retail-Core,Mumbai,6,10110,2026-08-01
C-0022,Retail-Core,Hyderabad,5,10160,2026-09-24
C-0023,Retail-Core,Bengaluru,4,6200,2026-09-16
C-0024,Retail-Core,Hyderabad,4,7770,2026-09-10
C-0025,Retail-Core,Chennai,2,4760,2026-05-10
C-0026,Retail-Core,Chennai,4,9910,2026-08-13
C-0027,Retail-Core,Mumbai,3,5040,2026-08-13
C-0028,Retail-Core,Hyderabad,2,3750,2026-06-18
C-0029,Retail-Core,Mumbai,5,9930,2026-09-12
C-0030,Retail-Core,Delhi,4,5800,2026-09-15
C-0031,Retail-Core,Hyderabad,6,9820,2026-09-16
C-0032,Retail-Core,Hyderabad,4,7440,2026-09-23
C-0033,Retail-Core,Mumbai,8,15910,2026-09-22
C-0034,Retail-Core,Bengaluru,4,9430,2026-09-22
C-0035,Retail-Core,Bengaluru,6,12300,2026-09-15
C-0036,Retail-Core,Delhi,4,7850,2026-08-14
C-0037,Retail-Core,Chennai,6,12240,2026-09-07
C-0038,Retail-Core,Pune,4,6370,2026-08-14
C-0039,Retail-Core,Delhi,4,7100,2026-09-18
C-0040,Retail-Core,Delhi,14,26020,2026-09-21
C-0041,Retail-Core,Hyderabad,7,12460,2026-09-28
C-0042,Retail-Core,Mumbai,4,7910,2026-08-22
C-0043,Retail-Core,Bengaluru,2,3810,2026-07-02
C-0044,Retail-Core,Pune,8,12600,2026-08-18
C-0045,Retail-Core,Pune,2,5200,2026-08-10
C-0046,Retail-Core,Delhi,5,8500,2026-09-09
C-0047,Retail-Core,Bengaluru,6,12440,2026-09-27
C-0048,Retail-Core,Pune,2,4510,2026-09-08
C-0049,Retail-Core,Bengaluru,5,9430,2026-09-15
C-0050,Retail-Core,Pune,7,11480,2026-09-16
C-0051,Retail-Core,Mumbai,3,6380,2026-08-26
C-0052,Retail-Core,Chennai,1,1210,2026-09-19
C-0053,Retail-Core,Chennai,1,1410,2026-07-10
