id,segment,amount,outcome,date
5001,segment_a,2600,accepted,2026-05-04
5002,segment_d,3300,declined,2026-05-05
5003,segment_a,5100,accepted,2026-05-06
5004,segment_b,6700,pending,2026-05-07
5005,segment_c,7900,accepted,2026-05-11
5006,segment_a,9400,declined,2026-05-12
5007,segment_d,10800,accepted,2026-05-13
5008,segment_b,12200,declined,2026-05-14
5009,segment_a,13900,accepted,2026-05-18
5010,segment_c,15300,pending,2026-05-19
5011,segment_d,16600,declined,2026-05-20
5012,segment_a,1900,accepted,2026-06-01
5013,segment_b,3100,declined,2026-06-02
5014,segment_d,4400,accepted,2026-06-03
5015,segment_a,5800,pending,2026-06-04
5016,segment_c,6200,accepted,2026-06-08
5017,segment_a,7400,declined,2026-06-09
5018,segment_b,8700,accepted,2026-06-10
5019,segment_d,9900,declined,2026-06-11
5020,segment_a,11400,accepted,2026-06-15
5021,segment_c,12800,pending,2026-06-16
5022,segment_d,14100,accepted,2026-06-17
5023,segment_b,15900,declined,2026-06-18
5024,segment_a,17800,declined,2026-06-22
5025,segment_a,2200,accepted,2026-07-06
5026,segment_d,3700,declined,2026-07-07
5027,segment_b,5500,accepted,2026-07-08
5028,segment_a,6900,pending,2026-07-09
5029,segment_c,8100,accepted,2026-07-13
5030,segment_d,9600,declined,2026-07-14
5031,segment_a,11000,accepted,2026-07-15
5032,segment_b,13400,declined,2026-07-16
5033,segment_a,16200,accepted,2026-07-20
5034,segment_c,18500,pending,2026-07-21
5035,segment_d,295000,declined,2026-07-22
5036,segment_d,4900,accepted,2026-08-03
5037,segment_a,8300,accepted,2026-08-04
5038,segment_c,10300,declined,2026-08-05
5039,segment_b,14700,accepted,2026-08-06
